weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9
1	2.29	2.29	2.29	2.29	2.29	2.29	2.29	2.29	2.29
2	2.50	2.97	3.23	3.23	3.23	3.18	3.18	3.18	3.18
3	2.71	3.64	4.16	4.16	4.16	4.06	4.06	4.06	4.06
4	2.91	4.32	5.10	5.10	5.10	4.94	4.94	4.94	4.94
5	3.12	5.00	6.04	6.04	6.04	5.83	5.83	5.83	5.83
6	3.33	5.67	6.97	6.97	6.97	6.71	6.71	6.71	6.71
7	3.54	6.35	7.91	7.91	7.91	7.60	7.60	7.60	7.60
8	3.75	7.03	8.85	8.85	8.85	8.48	8.48	8.48	8.48
9	3.75	7.03	8.85	8.85	8.85	8.48	8.48	8.48	8.48
10	3.75	7.03	8.85	8.85	8.85	8.48	8.48	8.48	8.48
11	3.75	7.03	8.85	8.85	8.85	8.48	8.48	8.48	8.48
12	4.79	8.48	10.72	10.72	10.72	10.31	10.31	10.31	10.31
13	4.79	8.48	10.72	10.72	10.72	10.31	10.31	10.31	10.31
14	4.79	8.48	10.72	10.72	10.72	10.31	10.31	10.31	10.31
15	4.79	8.48	10.72	10.72	10.72	10.31	10.31	10.31	10.31
16	5.83	9.94	12.60	12.60	12.60	12.13	12.13	12.13	12.13
17	5.83	9.94	12.60	12.60	12.60	12.13	12.13	12.13	12.13
18	5.83	9.94	12.60	12.60	12.60	12.13	12.13	12.13	12.13
19	5.83	9.94	12.60	12.60	12.60	12.13	12.13	12.13	12.13
20	6.87	11.40	14.47	14.47	14.47	13.95	13.95	13.95	13.95
21	6.87	11.40	14.47	14.47	14.47	13.95	13.95	13.95	13.95
22	6.87	11.40	14.47	14.47	14.47	13.95	13.95	13.95	13.95
23	6.87	11.40	14.47	14.47	14.47	13.95	13.95	13.95	13.95
24	7.91	12.86	16.34	16.34	16.34	15.77	15.77	15.77	15.77
25	7.91	12.86	16.34	16.34	16.34	15.77	15.77	15.77	15.77
26	7.91	12.86	16.34	16.34	16.34	15.77	15.77	15.77	15.77
27	7.91	12.86	16.34	16.34	16.34	15.77	15.77	15.77	15.77
28	8.95	14.31	18.22	18.22	18.22	17.59	17.59	17.59	17.59
29	8.95	14.31	18.22	18.22	18.22	17.59	17.59	17.59	17.59
30	8.95	14.31	18.22	18.22	18.22	17.59	17.59	17.59	17.59
31	8.95	14.31	18.22	18.22	18.22	17.59	17.59	17.59	17.59
32	9.99	15.77	20.09	20.09	20.09	19.41	19.41	19.41	19.41
33	9.99	15.77	20.09	20.09	20.09	19.41	19.41	19.41	19.41
34	9.99	15.77	20.09	20.09	20.09	19.41	19.41	19.41	19.41
35	9.99	15.77	20.09	20.09	20.09	19.41	19.41	19.41	19.41
36	11.03	17.23	21.97	21.97	21.97	21.24	21.24	21.24	21.24
37	11.03	17.23	21.97	21.97	21.97	21.24	21.24	21.24	21.24
38	11.03	17.23	21.97	21.97	21.97	21.24	21.24	21.24	21.24
39	11.03	17.23	21.97	21.97	21.97	21.24	21.24	21.24	21.24
40	12.08	18.69	23.84	23.84	23.84	23.06	23.06	23.06	23.06
41	12.08	18.69	23.84	23.84	23.84	23.06	23.06	23.06	23.06
42	12.08	18.69	23.84	23.84	23.84	23.06	23.06	23.06	23.06
43	12.08	18.69	23.84	23.84	23.84	23.06	23.06	23.06	23.06
44	13.12	20.14	25.71	25.71	25.71	24.88	24.88	24.88	24.88
45	13.12	20.14	25.71	25.71	25.71	24.88	24.88	24.88	24.88
46	13.12	20.14	25.71	25.71	25.71	24.88	24.88	24.88	24.88
47	13.12	20.14	25.71	25.71	25.71	24.88	24.88	24.88	24.88
48	14.16	21.60	27.59	27.59	27.59	26.70	26.70	26.70	26.70
49	14.16	21.60	27.59	27.59	27.59	26.70	26.70	26.70	26.70
50	14.16	21.60	27.59	27.59	27.59	26.70	26.70	26.70	26.70
51	14.16	21.60	27.59	27.59	27.59	26.70	26.70	26.70	26.70
52	15.20	23.06	29.46	29.46	29.46	28.52	28.52	28.52	28.52
53	15.20	23.06	29.46	29.46	29.46	28.52	28.52	28.52	28.52
54	15.20	23.06	29.46	29.46	29.46	28.52	28.52	28.52	28.52
55	15.20	23.06	29.46	29.46	29.46	28.52	28.52	28.52	28.52
56	16.24	24.52	31.33	31.33	31.33	30.35	30.35	30.35	30.35
57	16.24	24.52	31.33	31.33	31.33	30.35	30.35	30.35	30.35
58	16.24	24.52	31.33	31.33	31.33	30.35	30.35	30.35	30.35
59	16.24	24.52	31.33	31.33	31.33	30.35	30.35	30.35	30.35
60	17.28	25.97	33.21	33.21	33.21	32.17	32.17	32.17	32.17
61	17.28	25.97	33.21	33.21	33.21	32.17	32.17	32.17	32.17
62	17.28	25.97	33.21	33.21	33.21	32.17	32.17	32.17	32.17
63	17.28	25.97	33.21	33.21	33.21	32.17	32.17	32.17	32.17
64	18.32	27.43	35.08	35.08	35.08	33.99	33.99	33.99	33.99
