WeightNotOver_Ounces	1	2	3	4	5	6	7	8	9
1	6.16	6.16	6.16	6.16	6.16	6.16	6.16	6.16	6.16
2	6.16	6.16	6.16	6.16	6.16	6.16	6.16	6.16	6.16
3	6.91	8.32	8.88	8.88	8.88	8.60	8.60	8.60	8.60
4	6.91	8.32	8.88	8.88	8.88	8.60	8.60	8.60	8.60
5	7.70	10.40	11.48	11.48	11.48	10.94	10.94	10.94	10.94
6	7.70	10.40	11.48	11.48	11.48	10.94	10.94	10.94	10.94
7	7.70	10.40	11.48	11.48	11.48	10.94	10.94	10.94	10.94
8	7.70	10.40	11.48	11.48	11.48	10.94	10.94	10.94	10.94
12	8.24	12.15	13.41	13.41	13.41	12.87	12.87	12.87	12.87
16	9.50	13.55	15.08	15.08	15.08	14.63	14.63	14.63	14.63
20	10.76	14.94	16.74	16.74	16.74	16.38	16.38	16.38	16.38
24	12.02	16.34	18.41	18.41	18.41	18.14	18.14	18.14	18.14
28	13.28	17.73	20.07	20.07	20.07	19.89	19.89	19.89	19.89
32	14.54	19.13	21.74	21.74	21.74	21.65	21.65	21.65	21.65
36	15.80	20.52	23.40	23.40	23.40	23.40	23.40	23.40	23.40
40	17.06	21.92	25.07	25.07	25.07	25.16	25.16	25.16	25.16
44	18.32	23.31	26.73	26.73	26.73	26.91	26.91	26.91	26.91
48	19.58	24.71	28.40	28.40	28.40	28.67	28.67	28.67	28.67
52	20.84	26.10	30.06	30.06	30.06	30.42	30.42	30.42	30.42
56	22.10	27.50	31.73	31.73	31.73	32.18	32.18	32.18	32.18
60	23.36	28.89	33.39	33.39	33.39	33.93	33.93	33.93	33.93
64	24.62	30.29	35.06	35.06	35.06	35.69	35.69	35.69	35.69
