WeightNotOver_Lbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.5,33.24,42.11,44.06,50.92,47,47,47,45.04,44.06,50.92,48.96,48.96,48.96,48.96,48.96,48.96,48.96
1,36.19,43.36,46.95,51.5,47.97,49.18,50.82,48.79,47.43,52.67,50.24,54.12,50.05,49.76,51.02,49.66,49.76
2,39.27,45.44,50.37,54.45,50.23,51.98,54.83,51.89,50.18,56.44,52.74,57.39,51.7,53.5,53.31,51.13,50.94
3,43.11,48.43,54.78,58.48,53.5,55.83,59.9,56.01,53.93,61.33,56.3,61.8,54.4,58.29,56.68,53.64,53.17
4,46.96,51.41,59.19,62.51,56.77,59.67,64.98,60.14,57.67,66.21,59.86,66.21,57.11,63.08,60.05,56.16,55.4
5,50.8,54.4,63.6,66.54,60.05,63.51,70.05,64.27,61.42,71.1,63.41,70.62,59.81,67.87,63.41,58.67,57.63
6,53.7,55.69,65.44,69.15,61.96,66,73.51,66.92,63.77,74.81,64.7,72.96,61.17,71.19,65.44,59.87,58.76
7,57.69,58.15,68.64,73.19,65.16,69.85,78.48,70.96,67.43,80.06,67.34,76.81,63.81,75.97,68.83,62.33,61.12
8,61.68,60.61,71.84,77.23,68.36,73.7,83.45,75,71.1,85.3,69.99,80.66,66.46,80.75,72.21,64.79,63.49
9,65.67,63.07,75.04,81.26,71.56,77.55,88.41,79.04,74.77,90.55,72.63,84.51,69.1,85.53,75.6,67.25,65.86
10,69.66,65.53,78.25,85.3,74.77,81.4,93.38,83.07,78.43,95.79,75.28,88.36,71.75,90.31,78.99,69.71,68.22
11,73.61,67.81,81.08,89.34,77.97,85.35,98.34,87.11,82.1,101.19,77.92,91.94,74.49,95.56,82.38,72.63,71.15
12,77.55,70.08,83.91,93.38,81.17,89.29,103.31,91.15,85.77,108.05,80.57,95.51,77.23,100.8,85.77,75.56,74.07
13,81.5,72.35,86.74,97.41,84.37,93.24,108.27,95.19,89.43,114.91,83.21,99.09,79.96,106.05,89.15,78.48,76.99
14,85.44,74.63,89.57,101.45,87.58,97.18,113.24,99.22,93.1,121.77,85.86,102.66,82.7,111.29,92.54,81.4,79.92
15,89.39,76.9,92.4,105.49,90.78,101.13,118.21,103.26,96.76,128.63,88.5,106.23,85.44,116.54,95.93,84.33,82.84
16,93.33,79.18,95.23,109.53,93.98,105.07,123.17,107.3,100.43,135.49,91.15,109.81,88.18,121.78,99.32,87.25,85.77
17,97.28,81.45,98.06,113.57,97.18,109.02,128.14,111.34,104.1,142.34,93.79,113.38,90.92,127.02,102.71,90.17,88.69
18,101.22,83.72,100.9,117.6,100.38,112.96,133.1,115.38,107.76,149.2,96.44,116.95,93.66,132.27,106.09,93.1,91.61
19,105.17,86,103.73,121.64,103.59,116.91,138.07,119.41,111.43,156.06,99.09,120.53,96.39,137.51,109.48,96.02,94.54
