WeightNotOver_Lbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.5,35.25,44.75,46.95,54,50,50,50,48,47,54,52,52,52,52,52,52,52
1,38.75,46.55,50.5,55.15,51.55,52.85,54.65,52.45,51.05,56.45,53.85,57.95,53.65,53.35,54.75,53.25,53.35
2,42.9,49.9,55.25,59.5,55,57,60.1,56.9,55.1,61.7,57.6,62.7,56.5,58.5,58.4,55.9,55.7
3,47.05,53.25,60,63.85,58.45,61.15,65.55,61.35,59.15,66.95,61.35,67.45,59.35,63.65,62.05,58.55,58.05
4,51.2,56.6,64.75,68.2,61.9,65.3,71,65.8,63.2,72.2,65.1,72.2,62.2,68.8,65.7,61.2,60.4
5,55.35,59.95,69.5,72.55,65.35,69.45,76.45,70.25,67.25,77.45,68.85,76.95,65.05,73.95,69.35,63.85,62.75
6,59.5,62.5,72.95,77,68.8,73.6,81.9,74.6,71.2,83.1,71.7,81.2,67.9,79.2,73,66.5,65.3
7,63.65,65.05,76.4,81.45,72.25,77.75,87.35,78.95,75.15,88.75,74.55,85.45,70.75,84.45,76.65,69.15,67.85
8,67.8,67.6,79.85,85.9,75.7,81.9,92.8,83.3,79.1,94.4,77.4,89.7,73.6,89.7,80.3,71.8,70.4
9,71.95,70.15,83.3,90.35,79.15,86.05,98.25,87.65,83.05,100.05,80.25,93.95,76.45,94.95,83.95,74.45,72.95
10,76.1,72.7,86.75,94.8,82.6,90.2,103.7,92,87,105.7,83.1,98.2,79.3,100.2,87.6,77.1,75.5
11,80.35,75.15,89.8,99.25,86.05,94.45,109.15,96.35,90.95,111.45,85.95,102.05,82.25,105.85,91.25,80.25,78.65
12,84.6,77.6,92.85,103.7,89.5,98.7,114.6,100.7,94.9,117.2,88.8,105.9,85.2,111.5,94.9,83.4,81.8
13,88.85,80.05,95.9,108.15,92.95,102.95,120.05,105.05,98.85,122.95,91.65,109.75,88.15,117.15,98.55,86.55,84.95
14,93.1,82.5,98.95,112.6,96.4,107.2,125.5,109.4,102.8,128.7,94.5,113.6,91.1,122.8,102.2,89.7,88.1
15,97.35,84.95,102,117.05,99.85,111.45,130.95,113.75,106.75,134.45,97.35,117.45,94.05,128.45,105.85,92.85,91.25
16,101.6,87.4,105.05,121.5,103.3,115.7,136.4,118.1,110.7,140.2,100.2,121.3,97,134.1,109.5,96,94.4
17,105.85,89.85,108.1,125.95,106.75,119.95,141.85,122.45,114.65,145.95,103.05,125.15,99.95,139.75,113.15,99.15,97.55
18,110.1,92.3,111.15,130.4,110.2,124.2,147.3,126.8,118.6,151.7,105.9,129,102.9,145.4,116.8,102.3,100.7
19,114.35,94.75,114.2,134.85,113.65,128.45,152.75,131.15,122.55,157.45,108.75,132.85,105.85,151.05,120.45,105.45,103.85
20,118.6,97.2,117.25,139.3,117.1,132.7,158.2,135.5,126.5,163.2,111.6,136.7,108.8,156.7,124.1,108.6,107
21,122.85,99.65,120.3,143.75,120.55,136.95,163.65,139.85,130.45,168.95,114.45,140.55,111.75,161.65,127.75,111.75,110.15
22,127.1,102.1,123.35,148.2,124,141.2,169.1,144.2,134.4,174.7,117.3,144.4,114.7,166.6,131.4,114.9,113.3
23,131.35,104.55,126.4,152.65,127.45,145.45,174.55,148.55,138.35,180.45,120.15,148.25,117.65,171.55,135.05,118.05,116.45
24,135.6,107,129.45,157.1,130.9,149.7,180,152.9,142.3,186.2,123,152.1,120.6,176.5,138.7,121.2,119.6
25,139.85,109.45,132.5,161.55,134.35,153.95,185.45,157.25,146.25,191.95,125.85,155.95,123.55,181.45,142.35,124.35,122.75
26,144.1,111.9,135.55,166,137.8,158.2,190.9,161.6,150.2,197.7,128.7,159.8,126.5,186.4,146,127.5,125.9
27,148.35,114.35,138.6,170.45,141.25,162.45,196.35,165.95,154.15,203.45,131.55,163.65,129.45,191.35,149.65,130.65,129.05
28,152.6,116.8,141.65,174.9,144.7,166.7,201.8,170.3,158.1,209.2,134.4,167.5,132.4,196.3,153.3,133.8,132.2
29,156.85,119.25,144.7,179.35,148.15,170.95,207.25,174.65,162.05,214.95,137.25,171.35,135.35,201.25,156.95,136.95,135.35
30,161.1,121.7,147.75,183.8,151.6,175.2,212.7,179,166,220.7,140.1,175.2,138.3,206.2,160.6,140.1,138.5
31,164.65,124.15,150.8,188.25,155.05,179.45,218.15,183.35,169.95,226.45,142.95,179.05,141.25,211.15,164.25,143.25,141.65
32,168.2,126.6,153.85,192.7,158.5,183.7,223.6,187.7,173.9,232.2,145.8,182.9,144.2,216.1,167.9,146.4,144.8
33,171.75,129.05,156.9,197.15,161.95,187.95,229.05,192.05,177.85,237.95,148.65,186.75,147.15,221.05,171.55,149.55,147.95
34,175.3,131.5,159.95,201.6,165.4,192.2,234.5,196.4,181.8,243.7,151.5,190.6,150.1,226,175.2,152.7,151.1
35,178.85,133.95,163,206.05,168.85,196.45,239.95,200.75,185.75,249.45,154.35,194.45,153.05,230.95,178.85,155.85,154.25
36,182.4,136.4,166.05,210.5,172.3,200.7,245.4,205.1,189.7,255.2,157.2,198.3,156,235.9,182.5,159,157.4
37,185.95,138.85,169.1,214.95,175.75,204.95,250.85,209.45,193.65,260.95,160.05,202.15,158.95,240.85,186.15,162.15,160.55
38,189.5,141.3,172.15,219.4,179.2,209.2,256.3,213.8,197.6,266.7,162.9,206,161.9,245.8,189.8,165.3,163.7
39,193.05,143.75,175.2,223.85,182.65,213.45,261.75,218.15,201.55,272.45,165.75,209.85,164.85,250.75,193.45,168.45,166.85
40,196.6,146.2,178.25,228.3,186.1,217.7,267.2,222.5,205.5,278.2,168.6,213.7,167.8,255.7,197.1,171.6,170
41,200.15,148.65,181.3,232.75,189.55,221.95,272.65,226.85,209.45,283.95,171.45,217.55,170.75,260.65,200.75,174.75,173.15
42,203.7,151.1,184.35,237.2,193,226.2,278.1,231.2,213.4,289.7,174.3,221.4,173.7,265.6,204.4,177.9,176.3
43,207.25,153.55,187.4,241.65,196.45,230.45,283.55,235.55,217.35,295.45,177.15,225.25,176.65,270.55,208.05,181.05,179.45
44,210.8,156,190.45,246.1,199.9,234.7,289,239.9,221.3,301.2,180,229.1,179.6,275.5,211.7,184.2,182.6
45,214.35,158.45,193.5,250.55,203.35,238.95,294.45,244.25,225.25,306.95,182.85,232.95,182.55,280.45,215.35,187.35,185.75
46,217.9,160.9,196.55,255,206.8,243.2,299.9,248.6,229.2,312.7,185.7,236.8,185.5,285.4,219,190.5,188.9
47,221.45,163.35,199.6,259.45,210.25,247.45,305.35,252.95,233.15,318.45,188.55,240.65,188.45,290.35,222.65,193.65,192.05
48,225,165.8,202.65,263.9,213.7,251.7,310.8,257.3,237.1,324.2,191.4,244.5,191.4,295.3,226.3,196.8,195.2
49,228.55,168.25,205.7,268.35,217.15,255.95,316.25,261.65,241.05,329.95,194.25,248.35,194.35,300.25,229.95,199.95,198.35
50,232.1,170.7,208.75,272.8,220.6,260.2,321.7,266,245,335.7,197.1,252.2,197.3,305.2,233.6,203.1,201.5
51,235.65,173.15,211.8,277.25,224.05,264.45,327.15,270.35,248.95,341.45,199.95,256.05,200.25,310.15,237.25,206.25,204.65
52,239.2,175.6,214.85,281.7,227.5,268.7,332.6,274.7,252.9,347.2,202.8,259.9,203.2,315.1,240.9,209.4,207.8
53,242.75,178.05,217.9,286.15,230.95,272.95,338.05,279.05,256.85,352.95,205.65,263.75,206.15,320.05,244.55,212.55,210.95
54,246.3,180.5,220.95,290.6,234.4,277.2,343.5,283.4,260.8,358.7,208.5,267.6,209.1,325,248.2,215.7,214.1
55,249.85,182.95,224,295.05,237.85,281.45,348.95,287.75,264.75,364.45,211.35,271.45,212.05,329.95,251.85,218.85,217.25
56,253.4,185.4,227.05,299.5,241.3,285.7,354.4,292.1,268.7,370.2,214.2,275.3,215,334.9,255.5,222,220.4
57,256.95,187.85,230.1,303.95,244.75,289.95,359.85,296.45,272.65,375.95,217.05,279.15,217.95,339.85,259.15,225.15,223.55
58,260.5,190.3,233.15,308.4,248.2,294.2,365.3,300.8,276.6,381.7,219.9,283,220.9,344.8,262.8,228.3,226.7
59,264.05,192.75,236.2,312.85,251.65,298.45,370.75,305.15,280.55,387.45,222.75,286.85,223.85,349.75,266.45,231.45,229.85
60,267.6,195.2,239.25,317.3,255.1,302.7,376.2,309.5,284.5,393.2,225.6,290.7,226.8,354.7,270.1,234.6,233
61,271.15,197.65,242.3,321.75,258.55,306.95,381.65,313.85,288.45,398.95,228.45,294.55,229.75,359.65,273.75,237.75,236.15
62,274.7,200.1,245.35,326.2,262,311.2,387.1,318.2,292.4,404.7,231.3,298.4,232.7,364.6,277.4,240.9,239.3
63,278.25,202.55,248.4,330.65,265.45,315.45,392.55,322.55,296.35,410.45,234.15,302.25,235.65,369.55,281.05,244.05,242.45
64,281.8,205,251.45,335.1,268.9,319.7,398,326.9,300.3,416.2,237,306.1,238.6,374.5,284.7,247.2,245.6
65,285.35,207.45,254.5,339.55,272.35,323.95,403.45,331.25,304.25,421.95,239.85,309.95,241.55,379.45,288.35,250.35,248.75
66,288.9,209.9,257.55,344,275.8,328.2,408.9,335.6,308.2,427.7,242.7,313.8,244.5,384.4,292,253.5,251.9
