WeightNotOver_Lbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,29.25,34.5,37.25,42.5,39.5,40.75,41.5,38,37.95,41.5,43.5,44,36.75,42.25,38.25,36.25,36.25
2,31.6,37.65,41.7,47.05,42.15,44.4,46.35,42.15,41.9,45.75,47.45,46.95,39.9,46.3,41.4,39.3,39.5
3,33.95,40.8,46.15,51.6,44.8,48.05,51.2,46.3,45.85,50,51.4,49.9,43.05,50.35,44.55,42.35,42.75
4,36.3,43.95,50.6,56.15,47.45,51.7,56.05,50.45,49.8,54.25,55.35,52.85,46.2,54.4,47.7,45.4,46
5,38.65,47.1,55.05,60.7,50.1,55.35,60.9,54.6,53.75,58.5,59.3,55.8,49.35,58.45,50.85,48.45,49.25
6,41.1,49.55,58,64.85,52.65,59,65.85,58.05,56.8,62.95,62.35,58.65,52.1,61.5,54,51.3,51.9
7,43.55,52,60.95,69,55.2,62.65,70.8,61.5,59.85,67.4,65.4,61.5,54.85,64.55,57.15,54.15,54.55
8,46,54.45,63.9,73.15,57.75,66.3,75.75,64.95,62.9,71.85,68.45,64.35,57.6,67.6,60.3,57,57.2
9,48.45,56.9,66.85,77.3,60.3,69.95,80.7,68.4,65.95,76.3,71.5,67.2,60.35,70.65,63.45,59.85,59.85
10,50.9,59.35,69.8,81.45,62.85,73.6,85.65,71.85,69,80.75,74.55,70.05,63.1,73.7,66.6,62.7,62.5
11,53.45,61.4,72.75,85.6,65.3,77.15,90.9,75.3,72.05,85.3,77.4,72.8,65.55,76.75,70.15,64.75,64.85
12,56,63.45,75.7,89.75,67.75,80.7,96.15,78.75,75.1,89.85,80.25,75.55,68,79.8,73.7,66.8,67.2
13,58.55,65.5,78.65,93.9,70.2,84.25,101.4,82.2,78.15,94.4,83.1,78.3,70.45,82.85,77.25,68.85,69.55
14,61.1,67.55,81.6,98.05,72.65,87.8,106.65,85.65,81.2,98.95,85.95,81.05,72.9,85.9,80.8,70.9,71.9
15,63.65,69.6,84.55,102.2,75.1,91.35,111.9,89.1,84.25,103.5,88.8,83.8,75.35,88.95,84.35,72.95,74.25
16,66.2,71.65,87.5,106.35,77.55,94.9,117.15,92.55,87.2,108.05,91.65,86.55,77.8,91.9,87.9,75,76.6
17,68.75,73.7,90.45,110.5,80,98.45,122.4,96,90.15,112.6,94.5,89.3,80.25,94.85,91.45,77.05,78.95
18,71.3,75.75,93.4,114.65,82.45,102,127.65,99.45,93.1,117.15,97.35,92.05,82.7,97.8,95,79.1,81.3
19,73.85,77.8,96.35,118.8,84.9,105.55,132.9,102.9,96.05,121.7,100.2,94.8,85.15,100.75,98.55,81.15,83.65
20,76.4,79.85,99.3,122.95,87.35,109.1,138.15,106.35,99,126.25,103.05,97.55,87.6,103.7,102.1,83.2,86
21,78.95,81.9,102.25,127.1,89.8,112.65,143.4,109.8,101.95,130.8,105.9,100.3,90.05,106.65,105.65,85.25,88.35
22,81.5,83.95,105.2,131.25,92.25,116.2,148.65,113.25,104.9,135.35,108.75,103.05,92.5,109.6,109.2,87.3,90.7
23,84.05,86,108.15,135.4,94.7,119.75,153.9,116.7,107.85,139.9,111.6,105.8,94.95,112.55,112.75,89.35,93.05
24,86.6,88.05,111.1,139.55,97.15,123.3,159.15,120.15,110.8,144.45,114.45,108.55,97.4,115.5,116.3,91.4,95.4
25,89.15,90.1,114.05,143.7,99.6,126.85,164.4,123.6,113.75,149,117.3,111.3,99.85,118.45,119.85,93.45,97.75
26,91.7,92.15,117,147.85,102.05,130.4,169.65,127.05,116.7,153.55,120.15,114.05,102.3,121.4,123.4,95.5,100.1
27,94.25,94.2,119.95,152,104.5,133.95,174.9,130.5,119.65,158.1,123,116.8,104.75,124.35,126.95,97.55,102.45
28,96.8,96.25,122.9,156.15,106.95,137.5,180.15,133.95,122.6,162.65,125.85,119.55,107.2,127.3,130.5,99.6,104.8
29,99.35,98.3,125.85,160.3,109.4,141.05,185.4,137.4,125.55,167.2,128.7,122.3,109.65,130.25,134.05,101.65,107.15
30,101.9,100.35,128.8,164.45,111.85,144.6,190.65,140.85,128.5,171.75,131.55,125.05,112.1,133.2,137.6,103.7,109.5
31,104.45,102.4,131.75,168.6,114.3,148.15,195.9,144.3,131.45,176.3,134.4,127.8,114.55,136.15,141.15,105.75,111.85
32,107,104.45,134.7,172.75,116.75,151.7,201.15,147.75,134.4,180.85,137.25,130.55,117,139.1,144.7,107.8,114.2
33,109.55,106.5,137.65,176.9,119.2,155.25,206.4,151.2,137.35,185.4,140.1,133.3,119.45,142.05,148.25,109.85,116.55
34,112.1,108.55,140.6,181.05,121.65,158.8,211.65,154.65,140.3,189.95,142.95,136.05,121.9,145,151.8,111.9,118.9
35,114.65,110.6,143.55,185.2,124.1,162.35,216.9,158.1,143.25,194.5,145.8,138.8,124.35,147.95,155.35,113.95,121.25
36,117.2,112.65,146.5,189.35,126.55,165.9,222.15,161.55,146.2,199.05,148.65,141.55,126.8,150.9,158.9,116,123.6
37,119.75,114.7,149.45,193.5,129,169.45,227.4,165,149.15,203.6,151.5,144.3,129.25,153.85,162.45,118.05,125.95
